clean_tweet	airline_sentiment
virginamerica use another browser amp brand reputation built tech response cross browser compatible website	negative
virginamerica flight flight booking problems site totally folks problem	negative
virginamerica like customer service min delay connecting passengers seems long va	negative
virginamerica thanks outstanding nyc jfk crew moved mountains get home san francisco tonight	positive
virginamerica absolute best team customer service ever every time fly delighted thank	positive
virginamerica need change flight thats scheduled hours min wait time phone im calling intern help	negative
virginamerica completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue	positive
virginamerica failing customers check process link tsa pre check	negative
virginamerica fidifamilies us terrible airline gave us hotel hotline number said sorry	negative
virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame	negative
virginamerica another delayed flight likingyoulessandless	negative
virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise	negative
virginamerica rock making watch oscars flight redcarpet oscars oscars	positive
virginamerica always xoxo	positive
virginamerica book seats flights buy even check creates much anxiety frustrated	negative
virginamerica think paying extra bucks rt luggage might afford hiring extra hand sfo lame	negative
virginamerica best customer service rep world irmafromdallas takes cake	positive
virginamerica please provide status flight cant imagine time web indicates dude weather dallas	negative
virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort	positive
virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face	negative
virginamerica question possible book seat infant giving option want seat	negative
always together welcome rt virginamerica jessicajaymes welcome	positive
virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx vbctdlf	positive
virginamerica understand need dm give answer damaged luggage policy	negative
virginamerica mean policy destroyed luggage	negative
virginamerica thank checking tickets purchased customer happy	positive
virginamerica problems flight booking problems web site keeps giving error contact phone phone minute wait	negative
virginamerica reschedule cancelled flightled flights online change button greyed	negative
virginamerica rang wait minutes book ticket vendor fix site	negative
virginamerica got flight told today checked email tomorrow unacceptable	negative
virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today	negative
virginamerica pairings include red wine white offered redwineisbetter	negative
virginamerica website	negative
virginamerica site seems little wonked right may want look tried two browsers css http co qsqmm kf	negative
virginamerica disappointed agent designated silver status check line dulles airport closed assist pasengers	negative
virginamerica normal receive reply central baggage baggageissues smh	negative
virginamerica logan airport waiting checkin flight checkin desk open	negative
virginamerica congrats got business ewr sfo lax fuck united fl sfo ewr clincher	negative
virginamerica applied weeks ago heard back flying week disappointed	negative
virginamerica thank follow	positive
virginamerica many apologies r worse airlines even respond cudtomers	negative
virginamerica shame va making people spend money stranded cities airlines landing jfk reimburse	negative
virginamerica bad say takes days via confirmation email inquired weeks claim weeks	negative
virginamerica flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline	negative
rt virginamerica met match got status another airline upgrade restr http co rhkamx vf http co pyalebgkjt	positive
virginamerica way fly elevate gold	positive
virginamerica lot apologies thrown customers see sad thanks nothing worst airline ever	negative
virginamerica flight stuff wrong nothing worst flight ever	negative
virginamerica match americanairlines status cool	positive
virginamerica trying book flight guys website let lose business	negative
virginamerica suck	negative
virginamerica thanks	positive
virginamerica dm issue persisting	negative
virginamerica never rec cancelled flightlation notice left w options fly ps driving la red eye mon w kids	negative
virginamerica trying book flight amp site	negative
virginamerica flights flying boston tomorrow need home cancelled flightled flight anything	negative
virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better	negative
virginamerica love guy song dancing high school dance revue	positive
virginamerica website trying check	negative
virginamerica done thank quick response apparently faster sitting hold	positive
virginamerica cool picture another virginamerica plane wing site http co b agfd c	positive
virginamerica keep great work	positive
virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny	positive
virginamerica thanks great flight la boston pilots great job landing snow go back la seriously	positive
virginamerica thanks much awesome support guys rock	positive
virginamerica seats row recline mention website soreback	negative
virginamerica flight delayed hours la due mechanical problems handle like pros could tossed us free drink	negative
virginamerica cancelled flight flights today precipitation scared	negative
virginamerica twitter team guys killed rescheduling asap thank	positive
virginamerica guys charged reschedule flight cancelled flighted refusing refund deal	negative
virginamerica access website safari iphone seems work mac ipad need iphone add passbook	negative
virginamerica mobile site broken shows header elevateuser numofpointsavailable number points let checkin	negative
virginamerica really looking forward flight let know rescheduled diehardvirgin	negative
virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightled gonna email call reschedule	negative
virginamerica problem link email check thanks	negative
virginamerica change another airline get dc today united able land dc cost ugh	negative
virginamerica looking forward first flight today cancelled flightled along subsequent one	negative
virginamerica putting great deals pdx las las pdx show love http co eniqg buzj	positive
virginamerica wish afford fly next friday going back home love everything airline	positive
virginamerica gonna deal dallas dc deal dc dallas sad	negative
virginamerica hold times call center bit much	negative
virginamerica like http co vpqem xuq	positive
virginamerica site help	negative
virginamerica best flight attendant ever http co pxdel nq l	positive
awesome rt virginamerica watch nominated films feet meetthefleet oscars http co dnstitrzwy	positive
virginamerica thanks much	positive
virginamerica trying reset password email never arrives help	negative
virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu lbcncr	positive
virginamerica nicely done	positive
virginamerica looking forward watching oscars flight home tomorrow might even get something bubbly drink	positive
virginamerica reason delay departure vx jfk afternoon	negative
virginamerica todays flight palm springs ca jfk ny cancelled flightled	negative
virginamerica hahaha virginamerica guys amazing love guys	positive
virginamerica sounds like fun	positive
virginamerica css site right please fix site unusable	negative
virginamerica flight vegas boston today checked online bag count register fix somehow	negative
virginamerica classiq luv virgin america greetingz	positive
virginamerica hi trying check website working tried different browsers problem continues	negative
virginamerica thanks great customer service today amp helping get travel sorted	positive
virginamerica thanks guys sweet route rockies airplanemodewason	positive
virginamerica love music blasting gate boston waiting flight sanfrancisco could get iced coffee	positive
virginamerica passenger flt assaulted flown trust banned crew filed report faanews	negative
virginamerica current bug website shows select departure city selecting destination city http co sllyibe vq	negative
virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help	negative
virginamerica thank easy itinerary shift impending weather quick painless amp free	positive
virginamerica thanks good times back vodkatonics entire flight sfo	positive
virginamerica great job adding little luxuries aesthetics improve air travel experience thank keep	positive
virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member	negative
virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience	negative
virginamerica something wrong website safari iphone	negative
virginamerica thanks gate checking baggage full flight dfw lax giving early boarding sweet	positive
virginamerica already checked page expired x	negative
virginamerica boo refunding seat upgrade fee want buy first place	negative
virginamerica see	positive
virginamerica inflight team makes experience amazing	positive
virginamerica cutest salt pepper shaker ever think guys get better http co vc keulg j	positive
virginamerica moved seat notice better seat cabin select behind row selected disappointed	negative
virginamerica fav airline	positive
virginamerica hot female pilot sweet dca sfo	positive
virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help	negative
virginamerica thank	positive
virginamerica anything going website getting lot errors past minutes	negative
virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefits	negative
virginamerica husband ordered three drinks via screen never came awesome	negative
virginamerica soooo guys going leave seatbelt light flight barely call turbulence	negative
virginamerica funny story website broken missing javascript stylesheets checkin process dislike	negative
virginamerica would love virgin like gopro	positive
virginamerica trying check ct flight tmm desktop website working sort caching bug sos	negative
virginamerica guys know check links emails broken http co npxb obmr	negative
virginamerica loved wait monday return flight mostly watch inflight safety video sorrynotsorry	positive
virginamerica lost luggage days ago flight vx lax iad amp calling every day response please give back stuff	negative
virginamerica flight booking problems section website seems broken chrome might wanna look	negative
virginamerica hi wanted see new routes planned year newark love flying guys hope	positive
virginamerica mean probably inappropriate board	positive
virginamerica happy spend day together let	positive
virginamerica understanding helped thx comps	positive
virginamerica thank absolutely	positive
virginamerica looks like broken link assets https co oardjjgrrd	negative
virginamerica manage itinerary section website seems broken https co pujvcelng	negative
virginamerica check site looks like every time loads http co kacy awdbw	negative
virginamerica carriers less half price round trip fare stunned http co ukdjjijrow	negative
virginamerica wtf happening pdx late flight march one way sfo	negative
virginamerica free drinks flight back free promo	positive
virginamerica ssal thanks	positive
virginamerica luggage gone filed paperwork promised call email still resolution response central luggage	negative
virginamerica thanks	positive
virginamerica thanks taking care suuperg flight rockstars travel	positive
virginamerica thanks lovely soft views travel san sfo http co cnctl g ef	positive
virginamerica requested mileage challenge status several weeks ago online heard back get help	negative
virginamerica trying book tickets nyc facing super fun broken styling worry keep trying	negative
virginamerica applied status match feb got confirmation email day still news though guys dropped ball late flightly	negative
virginamerica adore looking forward flight austin two weeks	positive
virginamerica glad mentioned took first virgin flight years back transformative experience	positive
virginamerica trying check looks like site	negative
virginamerica spending birthday night dal dca get home	negative
virginamerica sent couple messages email provided avail try next year cheers	negative
virginamerica first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline	positive
virginamerica seriously though direct flights sfo fll may	negative
virginamerica fine already done purchase try go way go back	negative
virginamerica really experience hoping ws forced check small carry w nothing empty cabin space board	negative
virginamerica wjere luggage slow lax	negative
virginamerica spoke representative offered solution loyal customer flies virginatlantic well	negative
virginamerica deeply disappointed birthday promo applied trip booked mere days received email	negative
virginamerica happened direct flights sfo fll looking may see connecting help dontdothistome	negative
virginamerica promoting product problem southwest recommend noneother best http co tfanxbh cf	positive
virginamerica love guys pls get direct routes las aus	positive
virginamerica course work virginatlantic obsessed entire virgin family	positive
virginamerica ok first time flying tonight	positive
virginamerica embossed badges patches superior ones currently using http co fq xelbon	negative
virginamerica vx jfk la dirty plane standards	negative
virginamerica flight vx headed la jfk dirtiest va plane ever sad great airline	negative
virginamerica got squared away someone picked soon tweeted tweeted sooner	positive
virginamerica avis rental continue button work website book car tried times phone sucks	negative
virginamerica delayed	negative
virginamerica currently minute hold cust service need anything add lap child reservation	negative
virginamerica karinslee course fun celebrating thanks happy chinese new year	positive
virginamerica flight booking problems last second flight next week sfo san chance want gift promo code since love guys	positive
virginamerica comenity bank joke please change nothing constant problems bank	negative
virginamerica grandma ella th would lt bday greeting flight crew stewardess eastern airlines	positive
virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever	positive
virginamerica gave credit late flight flight yesterday great service wow moment unexpected gesture	positive
virginamerica submitted status match request back still heard flying monday look accelerate	negative
virginamerica safety video http co cqmm nue loved first cross country flight livewelltraveled sytycd	positive
virginamerica look fat looks yummy	positive
virginamerica omg omg nonstop dallas austin virgin	positive
virginamerica planes really pretty thought u know	positive
virginamerica pulling hair trying book flight u site work iphone ipad computer help	negative
virginamerica thank	positive
virginamerica get help support ticket days incident thank	negative
virginamerica good home texas moodlighting http co n bvzty zi	positive
virginamerica cannot even open laptop seat c paid premium let	negative
virginamerica seat c cannot even open laptop paid extra seat	negative
virginamerica thanks needing way make austin trips dca come	positive
virginamerica cool never ur planes	positive
virginamerica great well deserved	positive
virginamerica fyi info virginamerica com email address say contact password reset emails exist emails bounce	negative
virginamerica status match weeks gone news flt next week hope flt count towards requirement cust svc help	negative
virginamerica website sucks donkey dicks thought know best	negative
virginamerica crap channels pay watch uk tv	negative
virginamerica got set thanks	positive
virginamerica giants virgin america match made heaven	positive
virginamerica thank goodness also see friday nwk gt sf boom	positive
virginamerica come iphone app still using making waste paper	negative
virginamerica back seat entertainment system accept credit cards apostrophe surname apostrophefail	negative
virginamerica vx use lga slots instead today adding aus makes less likely	negative
virginamerica luv ur people product thing u charge herbal tea black tea caffeine drinker	positive
virginamerica thank see soon excited see expansion destinations spread wings	positive
virginamerica sad learn longer fly sfo gt phl hope returns	negative
virginamerica incredible customer service ever experienced refreshing	positive
virginamerica dreaming really open route dallas austin mean houston might next	positive
virginamerica omg finally	positive
virginamerica kinda sucked earphone jack work flight may want look future passengers	negative
virginamerica poor experience first computer problem seat malfunction stuck missing meeting san diego	negative
virginamerica thankyou dal aus route makes day	positive
virginamerica awesome deals dal aus way https co xcvqxykg	positive
virginamerica love taking southwestair backyard consumers win biz competes	positive
virginamerica flying love austin excellent news	positive
virginamerica congrats vx new route	positive
virginamerica tried offered charge additional k new ticket stranded thurs st time last time	negative
virginamerica never bad experience one took cake extortion carry items well	negative
virginamerica spend hours worrying items carryon would broken stolen since carry plane lock bag	negative
virginamerica group e told room bins got plane room least bags row	negative
virginamerica thanks making flight lax jfk nightmare forcing check carry bag gate	negative
virginamerica lots flights book site working phone waiting minutes	negative
virginamerica flight artisanal cheese wine pairing	positive
virginamerica classy	positive
virginamerica sure lot jfk lhr flights go lot faster mph strong tailwind	positive
virginamerica minus minutes elevate silver upgrade window opens freeneversucks	positive
virginamerica taking years fly home dallas get shit together	negative
virginamerica jezziegoldz would rough trip luckily virginamerica flight weather	positive
virginamerica another perfect flight come planes sun visors stay carriers make raise	positive
nice rt virginamerica man steel might faster wifi saying sciencebehindtheexperience http co fgrbpazsix	positive
virginamerica love dancing little richard cool beans	positive
virginamerica use passbook still love though lt use email future	positive
virginamerica thanks free birthday points right	positive
virginamerica man steel flies cities though frequency	negative
virginamerica thanks much sharing added site http co tsvibtvt h	positive
virginamerica dad segway best part whole infographic	positive
virginamerica plans short haul airline europe would defiantly fly guys	positive
virginamerica wifi better seating	positive
virginamerica started flight scolding using overhead bin offered person seated next	negative
virginamerica great return calls day ask myvxexperience	positive
virginamerica airlines cancelled flighting flights bos helping customers get home virgin saying good luck	negative
virginamerica grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin	negative
virginamerica one travelers affected boston storm shocked virgin complete apathy toward customers	negative
virginamerica umm reason someone different contact contact get definitive answer	negative
virginamerica trying make change advance hours prior tried online earlier wanted change fees	negative
virginamerica loyal driving nyc pa fly virgin since cut philly flights	positive
virginamerica guys perfect always lt wervirgin	positive
virginamerica thanks best customer service left industry	positive
virginamerica really wish fly fargo fargoairport fares amazings	positive
virginamerica mood lighting point reclining seat kickin feet	negative
virginamerica flight scheduled pm departure still says time plane gate update long delay	negative
virginamerica group got cancelled flightlation fees waived ticket booked reps help either	negative
virginamerica got pm newark home la folks ewr incredible letsgohome	positive
virginamerica flying lax sfo looking awesome movie lineup actually wish long haul	positive
united thanks	positive
united thanks taking care mr happy customer	positive
united still refund word via dm please resolve issue cancelled flightled flight useless assistant trip	negative
united delayed due lack crew delayed long line deicing still need improve service united	negative
united thanks filled luck common	positive
united eri ord express connections hugely popular could eri ewr hop	negative
united think boarded flight au early think	negative
united gate agent hooked alternate flights way prevent constant issues would rock	negative
united thanks	positive
united thanks ticket	positive
united worst nonrefundable first class tickets oh select global fc system auto selects economy w upgrade	negative
united cheertymedad buy tix days flight transfer tix flawed security logic flawed customer service	negative
united start claim weeks unrealistic really supposed go long car seat child ridiculous	negative
united follow please airline beautifull	positive
united car seat lost united reimburse new one pair shoes necessity child	negative
united highbuddyyy totally sucks cousin worked phl said united	negative
united wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated	positive
united beginning feb called united said would send another voucher mail never got anything tiredofwaiting	negative
united internet great thing emailing executives company maybe respond timely manner	negative
united thats weak see ya hey virginamerica	negative
united flew back w company since united didnt earlier flight	negative
united trying book awards september need flights aegeanairlines show even w many award seats availab	negative
united sure drive total hours get bag like explain debacle one wants talk	negative
united see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue	negative
united preferred security line anymore tsa pre check pull silverairways partner flight platinum spoiled	negative
united newarkliberty airport need indicate different gate terminals amp c flyingainteasy	negative
united yes please newly married trying update last name preexisting international flight seems easy	negative
united united refuse reissue lost voucher plane take due mechanics badcustomerservice	negative
united also run instructed shattered computer http co oaflfr wxb	negative
united yes agents last minutes one agents rude thankfully ladan nice	negative
united iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer	negative
united thanks help got need issue austrian guess sit awhile longer	positive
united uctraveladvisor would loved respond website saw really long form business new seats bad	negative
united refund flight vouchers another flight different airline expense today hour drive inconvenient	negative
united received call back days infant car seat supposed go anywhere child	negative
united well sitting ground time waiting gate tiredofthis	negative
united airport snow removal method keep good work folks cessna become http co v tmusjvu	positive
united need guys book planes concern travel someone else moving forward	negative
united measly e certificate appreciate loyal customers wait hrs tarmac ua unacceptable	negative
united email address username sign available	negative
united thank able claim interim expenses cost stuff	positive
united rude rude	negative
united get boarding pass austrian airlines codeshare flight rebook incls hour layover amp stuck outside sec	negative
united received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback	negative
united flew telaviv paid third suitcase even make plane besides impolite service	negative
united bag still colo springs disabled search unfamiliar airport look bag good outcome	negative
united shame flex tickets transfer rules even calling neurosurgery icu enough	negative
united denver said handle baggage made colo springs gave number call help either	negative
united guys need serious training customer service many better options put way guys handle ur mistakes	negative
united found problem avoided like plague told find supervisor	negative
united zcc u cancelled flight flight h advance need connect flight reschedule link helping help gf waited months see	negative
united flying	negative
united addition first flight delayed hour arriving destination hrs late flight	negative
united flew united last month experience awesome	positive
united travel booked thru united group dept okc ticket agent less willing help connection lax	negative
united v upset disability services told one employees carrying medical equipment rude	negative
united thnx quick reply think assist intl grp put considerable inconvenience today	negative
united wont transfer flight ticket accompany yr old active military mom emergency brain surgery wow	negative
united getmeontop weeks late flightr still received miles mileageplus gift card starbucks card handed	negative
united k always hoping improvement	negative
united yet complained guy checked luggage throwing bags around unfortunate coincidence hope	negative
united okc ticket agent roger mclarren sp less helpful intl group travel problems find supervisor help	negative
united mobile apps need construction ground os category expensive get right	negative
united another fail united ticket agents okc less helpful could care less problems american come	negative
united also working wc coach good thing bird landed ahead schedule use wc stat	positive
united sent email customer care telling may break sincerely hope help	negative
united silly flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk	negative
united phone number find call flight reservation	negative
united well fix missing buddies th bday negligence attempt make	negative
united believe help customer service like said want number someone fix	negative
united helped baggage service desk said bc tsa screening fll bags made bag ewr	negative
united mobile boarding pass disappeared phone standing line board second time week hmm	negative
united record rozana newark lovely helpful choosekind	positive
united thx update	positive
united explain eager flight attendant trying ask vision ccicanine guide dog	negative
united point asking details servicedog book flight crew read continued	negative
united tried one available bogota everyone rude houston stuck hours guys	negative
united worst unitedflightsever ua las iad mechanical problems took land fix delayed wtfodds	negative
united despite bag making newark good informative email tracking updates help	positive
united going ua outbound flight last thurs delayed hrs long delay worst unitedflightsever	negative
united worst unitedflightsever ua iad las mechanical problems switched aircraft delayed hours	negative
united crashed trying check	negative
united wow deal plus seats available easy change make customer happy	positive
united logan boarding gong show due lax carry enforcement bins full coats room bags u need better system	negative
united blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam	negative
united disappointed u didnt honor credit given ur mistakes taking business elsewhere	negative
united ua still waiting supposed depart	negative
united credit last trip never came mail	negative
united ok months waiting hear airline gave quite bit days requested terrible service	negative
united process ever end still waiting reply since months pathetic customerservice	negative
united going website flight booking problems three tickets today booted system umpteen times	negative
united get account number website says email unavailable	negative
united received bag last night still missing one	negative
united simonroesner need upgrade seats even economy plus like sitting concrete bench	negative
united nd flight also delayed pilots boarded sit scheduling	negative
united hard stay upset someone least try show remorse	negative
united way simple apology goes long way even hollow one obvious care well	negative
united one time thing either shocking pattern repeated neglect disrespect	negative
united fingers crossed amp intact disappointed experience actually saying enjoyed using	negative
united incredibly easy fix would rather stay comfort zone get forced mine	negative
united july zero excuses date system causes problems like	negative
united everyone around us sitting friends family members booked tickets october december bought	negative
united sure talking going nonstop flights sna sfo sfo ewr	negative
united moving americanair united talk service	negative
united asked legitimate question systemwide vs localized problems got back unrelate flightd copy paste better	negative
united time call need skis go airport get faith united	negative
united see guys amazing one company continually makes mistakes yet fails held accountable error	negative
united yeah sorry always problem united international reputation problems	negative
united maybe bbbne sd ks ia would care hear went whoever listens issues caused	negative
united wonder sharing fb insta would produce number characters really limits story telling	negative
united telling number call left airport negligent pilot staff	negative
united could email resent doesnt appear arrived	negative
united follow order dm come	negative
united united coupon make broken entertainment system hour flight seriously ridiculousness learncustomerservice	negative
united drop bag overnight amp leaving week supposed hold bag	negative
united dm details still response book today	negative
united able dm confirmation number	negative
united sent message let know got twitter literate also really going stuck hrs	negative
united unhappy response complaint emailed nd feb ref awful customer service	negative
united private jet would cool work try	positive
united given option using united travelbank recent flight booking problems help using recouping funds thanks	negative
united common keep paper work ready delay flights meetings choosechicago	negative
united yep correct got email flight cancelled flightled matter flight atl delayed thx	negative
united k problem getting fll iah sent dm making connection please let know	negative
united thanks sent	positive
united grounded montreal ua missing connection ua st louis help private jet	negative
united frustrated nervous	negative
united ones make difficult	negative
united child someone issue flying prepares ahead time reduce distress caused planes	negative
united get cancelled flightled hours take	negative
united always happens guys makes traveling incredibly stressful uncomfortable good business	negative
united someone severe anxiety one person help next	negative
united seeking go client b c u cant get need refund filled form confident works past indication	negative
united unrivalled access california flights u uk airports nonstop one stop connections year round	positive
united luckily made flights time disappointed lack communication	negative
united checking see flight atl ord got cancelled flighted	negative
united service far horrid wanted end trip high note guess option	negative
united booked flight home months ago requested seats together fianc e got middle seats unacceptable	negative
united guys horrible	negative
united thnx info	positive
united pay wifi international business ticket pennypincher	negative
united ok top things lost luggage could get worse unitedairlines	negative
united kudos cancelled flightling flights dfw morning united usually first panic	positive
united luggage broken youcouldntmakethis brokenwheel	negative
united maybe one day one quoted http co mjkpgvxmpc	negative
united flight delayed one remembered turn heat flight leaving ord seriously	negative
united another awesome new plane flight extremely nice captain steve connolly	positive
united speak real person get resolved politely efficiently	negative
united filed refund claim told charge dm disputed bank hence would like	negative
united bags make flight iad second day without clothes pretty inconvenient pretty curious unitedairlines	negative
united every united flight saipan guam adventure never know capeair old plane operational	positive
united hence asking customer service phone number speak real person get sorted	negative
united bags leave washington yet would convenient seeing left day ago unitedairlines lostluggage	negative
united according dms owed refund please may provided contact number go bank file claim	negative
united hours ago need work bag make hotel time need go elsewhere	negative
united pls properly train agents requested speak k customer service amp transferred dead end even open hr	negative
united thanks remembering load bag onto connecting flight oh wait forgot iceland fun clothes	negative
united thank cheese platter abundance entertainment options time flew	positive
united customer service atrocious disrupted travel plans lost luggage impossible talk human	negative
united terminal mia food open esp flights two hours early like recommended eat	negative
united ua flight currently stuck portland missed ride hour delay getmartyhome	negative
united responded various requests contact numbers anyone know uk customer service number unitedairlines	negative
united looking getting bags lusaka	negative
united could update suitcase please online phone tracking told nothing told back yesterday	negative
united thank trying two days set	positive
united last thing u guys charging drinks transatlantic flight	negative
united lhr arrival lounge fail waited mins shower left find hotel u know many passengers u carry planning	negative
united completed form doubt use ua care day vacation sure ua feel responsibility	negative
united definitely compliment really thought bag lost sent another airport end happy customer	positive
united thanx much followed emailed ticket voucher unitedairlines care	positive
united definitely trip remember ewr sti second season first seat pays loyal	positive
united nope told us time go home sleep airport even though assured us would get room	negative
united back expensive holiday worked year pay ruined want compensation amp original case back	negative
united thanks united understand would actually like bag back done also wants money	negative
united frankly worse customer service ever problems happen deal defines company never united	negative
united still valid flight seems strange delay late flight inbound crew hours plane already	negative
united thanks lack help canned response k desk	negative
united bad ua another unforeseeable operational issue return flight	negative
united pay luggage delivered arrive wait additional days delivery	negative
united hotels people feel like held hostage someone boarding passes leave fail	negative
united one great airline	positive
united outbound bags lbs bags returning home bag lbs logic writing machine human help required	negative
lindaswc united like hear poor experience please share details w customer care team http co hisc ndmgz	negative
united cancelled flightn left us fend flt came late flight getting runaround hrs employee blaming previous	negative
united okay ase find luggage	negative
united agent met us gate said issues w delays ua would taken online	negative
united lady one phone says tel aviv tel aviv united says newark one knows nothing	negative
united melaniespring see kn running plane running thanks help	positive
united yes still answers many luggage days unacceptable	negative
united going nothing like always	negative
united plus food taxis	negative
united offering us rooms people fail	negative
